2021-06-20 10:36:04,945 p=6673 u=root n=ansible | PLAY [Generate artifact, copy artifact & sql file to files directory] *************************************************
2021-06-20 10:36:04,959 p=6673 u=root n=ansible | TASK [Gathering Facts] ************************************************************************************************
2021-06-20 10:36:06,171 p=6673 u=root n=ansible | ok: [localhost]
2021-06-20 10:36:06,187 p=6673 u=root n=ansible | TASK [Install  jdk, maven, git] ***************************************************************************************
2021-06-20 10:36:12,389 p=6673 u=root n=ansible | ok: [localhost] => (item=git)
2021-06-20 10:36:53,731 p=6673 u=root n=ansible | changed: [localhost] => (item=openjdk-8-jdk)
2021-06-20 10:37:03,189 p=6673 u=root n=ansible | changed: [localhost] => (item=maven)
2021-06-20 10:37:03,203 p=6673 u=root n=ansible | TASK [Clone source code from github] **********************************************************************************
2021-06-20 10:37:07,247 p=6673 u=root n=ansible | changed: [localhost]
2021-06-20 10:37:07,258 p=6673 u=root n=ansible | TASK [mvn install command to build artifact] **************************************************************************
2021-06-20 10:37:53,360 p=6673 u=root n=ansible | changed: [localhost]
2021-06-20 10:37:53,386 p=6673 u=root n=ansible | TASK [Copy artifacts to files directory] ******************************************************************************
2021-06-20 10:37:54,579 p=6673 u=root n=ansible | changed: [localhost] => (item=/root/scripts/ansible-aws-vpc/provision-stack/Vprofile-repo/target/vprofile-v2.war)
2021-06-20 10:37:54,589 p=6673 u=root n=ansible | TASK [Copy SQL file to files directory] *******************************************************************************
2021-06-20 10:37:54,989 p=6673 u=root n=ansible | changed: [localhost]
2021-06-20 10:37:55,004 p=6673 u=root n=ansible | PLAY RECAP ************************************************************************************************************
2021-06-20 10:37:55,004 p=6673 u=root n=ansible | localhost                  : ok=6    changed=5    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2021-06-21 04:48:58,819 p=990 u=root n=ansible | PLAY [Generate artifact, copy artifact & sql file to files directory] **********************************
2021-06-21 04:48:58,850 p=990 u=root n=ansible | TASK [Gathering Facts] *********************************************************************************
2021-06-21 04:49:00,068 p=990 u=root n=ansible | ok: [localhost]
2021-06-21 04:49:00,084 p=990 u=root n=ansible | TASK [Install  jdk, maven, git] ************************************************************************
2021-06-21 04:49:06,912 p=990 u=root n=ansible | ok: [localhost] => (item=git)
2021-06-21 04:49:08,694 p=990 u=root n=ansible | ok: [localhost] => (item=openjdk-8-jdk)
2021-06-21 04:49:10,473 p=990 u=root n=ansible | ok: [localhost] => (item=maven)
2021-06-21 04:49:10,484 p=990 u=root n=ansible | TASK [Clone source code from github] *******************************************************************
2021-06-21 04:49:11,303 p=990 u=root n=ansible | ok: [localhost]
2021-06-21 04:49:11,313 p=990 u=root n=ansible | TASK [mvn install command to build artifact] ***********************************************************
2021-06-21 04:49:11,328 p=990 u=root n=ansible | skipping: [localhost]
2021-06-21 04:49:11,338 p=990 u=root n=ansible | TASK [Copy artifacts to files directory] ***************************************************************
2021-06-21 04:49:12,574 p=990 u=root n=ansible | ok: [localhost] => (item=/root/scripts/ansible-aws-vpc/provision-stack/Vprofile-repo/target/vprofile-v2.war)
2021-06-21 04:49:12,584 p=990 u=root n=ansible | TASK [Copy SQL file to files directory] ****************************************************************
2021-06-21 04:49:13,022 p=990 u=root n=ansible | ok: [localhost]
2021-06-21 04:49:13,039 p=990 u=root n=ansible | PLAY [Set host to ip mapping in /etc/hosts file of all the instances in the stack] *********************
2021-06-21 04:49:13,043 p=990 u=root n=ansible | TASK [Gathering Facts] *********************************************************************************
2021-06-21 04:49:17,193 p=990 u=root n=ansible | fatal: [cntl]: UNREACHABLE! => {"changed": false, "msg": "Failed to connect to the host via ssh: ssh: Could not resolve hostname cntl: Temporary failure in name resolution", "unreachable": true}
2021-06-21 04:49:17,721 p=990 u=root n=ansible | ok: [mc01]
2021-06-21 04:49:17,767 p=990 u=root n=ansible | ok: [rmq01]
2021-06-21 04:49:17,770 p=990 u=root n=ansible | ok: [web01]
2021-06-21 04:49:17,776 p=990 u=root n=ansible | ok: [app01]
2021-06-21 04:49:19,620 p=990 u=root n=ansible | ok: [db01]
2021-06-21 04:49:19,637 p=990 u=root n=ansible | TASK [Import VPC setup Variable] ***********************************************************************
2021-06-21 04:49:19,685 p=990 u=root n=ansible | fatal: [web01]: FAILED! => {"ansible_facts": {}, "ansible_included_var_files": [], "changed": false, "message": "Could not find or access 'group_vars/hostsip'\nSearched in:\n\t/root/scripts/ansible-aws-vpc/provision-stack/vars/group_vars/hostsip\n\t/root/scripts/ansible-aws-vpc/provision-stack/group_vars/hostsip\n\t/root/scripts/ansible-aws-vpc/provision-stack/vars/group_vars/hostsip\n\t/root/scripts/ansible-aws-vpc/provision-stack/group_vars/hostsip on the Ansible Controller.\nIf you are using a module and expect the file to exist on the remote, see the remote_src option"}
2021-06-21 04:49:19,705 p=990 u=root n=ansible | fatal: [app01]: FAILED! => {"ansible_facts": {}, "ansible_included_var_files": [], "changed": false, "message": "Could not find or access 'group_vars/hostsip'\nSearched in:\n\t/root/scripts/ansible-aws-vpc/provision-stack/vars/group_vars/hostsip\n\t/root/scripts/ansible-aws-vpc/provision-stack/group_vars/hostsip\n\t/root/scripts/ansible-aws-vpc/provision-stack/vars/group_vars/hostsip\n\t/root/scripts/ansible-aws-vpc/provision-stack/group_vars/hostsip on the Ansible Controller.\nIf you are using a module and expect the file to exist on the remote, see the remote_src option"}
2021-06-21 04:49:19,729 p=990 u=root n=ansible | fatal: [rmq01]: FAILED! => {"ansible_facts": {}, "ansible_included_var_files": [], "changed": false, "message": "Could not find or access 'group_vars/hostsip'\nSearched in:\n\t/root/scripts/ansible-aws-vpc/provision-stack/vars/group_vars/hostsip\n\t/root/scripts/ansible-aws-vpc/provision-stack/group_vars/hostsip\n\t/root/scripts/ansible-aws-vpc/provision-stack/vars/group_vars/hostsip\n\t/root/scripts/ansible-aws-vpc/provision-stack/group_vars/hostsip on the Ansible Controller.\nIf you are using a module and expect the file to exist on the remote, see the remote_src option"}
2021-06-21 04:49:19,730 p=990 u=root n=ansible | fatal: [mc01]: FAILED! => {"ansible_facts": {}, "ansible_included_var_files": [], "changed": false, "message": "Could not find or access 'group_vars/hostsip'\nSearched in:\n\t/root/scripts/ansible-aws-vpc/provision-stack/vars/group_vars/hostsip\n\t/root/scripts/ansible-aws-vpc/provision-stack/group_vars/hostsip\n\t/root/scripts/ansible-aws-vpc/provision-stack/vars/group_vars/hostsip\n\t/root/scripts/ansible-aws-vpc/provision-stack/group_vars/hostsip on the Ansible Controller.\nIf you are using a module and expect the file to exist on the remote, see the remote_src option"}
2021-06-21 04:49:19,736 p=990 u=root n=ansible | fatal: [db01]: FAILED! => {"ansible_facts": {}, "ansible_included_var_files": [], "changed": false, "message": "Could not find or access 'group_vars/hostsip'\nSearched in:\n\t/root/scripts/ansible-aws-vpc/provision-stack/vars/group_vars/hostsip\n\t/root/scripts/ansible-aws-vpc/provision-stack/group_vars/hostsip\n\t/root/scripts/ansible-aws-vpc/provision-stack/vars/group_vars/hostsip\n\t/root/scripts/ansible-aws-vpc/provision-stack/group_vars/hostsip on the Ansible Controller.\nIf you are using a module and expect the file to exist on the remote, see the remote_src option"}
2021-06-21 04:49:19,737 p=990 u=root n=ansible | PLAY RECAP *********************************************************************************************
2021-06-21 04:49:19,738 p=990 u=root n=ansible | app01                      : ok=1    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2021-06-21 04:49:19,738 p=990 u=root n=ansible | cntl                       : ok=0    changed=0    unreachable=1    failed=0    skipped=0    rescued=0    ignored=0   
2021-06-21 04:49:19,738 p=990 u=root n=ansible | db01                       : ok=1    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2021-06-21 04:49:19,738 p=990 u=root n=ansible | localhost                  : ok=5    changed=0    unreachable=0    failed=0    skipped=1    rescued=0    ignored=0   
2021-06-21 04:49:19,738 p=990 u=root n=ansible | mc01                       : ok=1    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2021-06-21 04:49:19,739 p=990 u=root n=ansible | rmq01                      : ok=1    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2021-06-21 04:49:19,739 p=990 u=root n=ansible | web01                      : ok=1    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2021-06-21 04:56:42,308 p=2295 u=root n=ansible | PLAY [Generate artifact, copy artifact & sql file to files directory] ******************************************************************************
2021-06-21 04:56:42,333 p=2295 u=root n=ansible | TASK [Gathering Facts] *****************************************************************************************************************************
2021-06-21 04:56:43,472 p=2295 u=root n=ansible | ok: [localhost]
2021-06-21 04:56:43,487 p=2295 u=root n=ansible | TASK [Install  jdk, maven, git] ********************************************************************************************************************
2021-06-21 04:56:45,455 p=2295 u=root n=ansible | ok: [localhost] => (item=git)
2021-06-21 04:56:47,168 p=2295 u=root n=ansible | ok: [localhost] => (item=openjdk-8-jdk)
2021-06-21 04:56:48,866 p=2295 u=root n=ansible | ok: [localhost] => (item=maven)
2021-06-21 04:56:48,877 p=2295 u=root n=ansible | TASK [Clone source code from github] ***************************************************************************************************************
2021-06-21 04:56:49,571 p=2295 u=root n=ansible | ok: [localhost]
2021-06-21 04:56:49,580 p=2295 u=root n=ansible | TASK [mvn install command to build artifact] *******************************************************************************************************
2021-06-21 04:56:49,595 p=2295 u=root n=ansible | skipping: [localhost]
2021-06-21 04:56:49,604 p=2295 u=root n=ansible | TASK [Copy artifacts to files directory] ***********************************************************************************************************
2021-06-21 04:56:50,474 p=2295 u=root n=ansible | ok: [localhost] => (item=/root/scripts/ansible-aws-vpc/provision-stack/Vprofile-repo/target/vprofile-v2.war)
2021-06-21 04:56:50,483 p=2295 u=root n=ansible | TASK [Copy SQL file to files directory] ************************************************************************************************************
2021-06-21 04:56:50,904 p=2295 u=root n=ansible | ok: [localhost]
2021-06-21 04:56:50,920 p=2295 u=root n=ansible | PLAY [Set host to ip mapping in /etc/hosts file of all the instances in the stack] *****************************************************************
2021-06-21 04:56:50,924 p=2295 u=root n=ansible | TASK [Gathering Facts] *****************************************************************************************************************************
2021-06-21 04:56:55,062 p=2295 u=root n=ansible | fatal: [cntl]: UNREACHABLE! => {"changed": false, "msg": "Failed to connect to the host via ssh: ssh: Could not resolve hostname cntl: Temporary failure in name resolution", "unreachable": true}
2021-06-21 04:56:55,316 p=2295 u=root n=ansible | ok: [mc01]
2021-06-21 04:56:55,323 p=2295 u=root n=ansible | ok: [web01]
2021-06-21 04:56:55,413 p=2295 u=root n=ansible | ok: [rmq01]
2021-06-21 04:56:55,414 p=2295 u=root n=ansible | ok: [app01]
2021-06-21 04:56:56,664 p=2295 u=root n=ansible | ok: [db01]
2021-06-21 04:56:56,678 p=2295 u=root n=ansible | TASK [Import VPC setup Variable] *******************************************************************************************************************
2021-06-21 04:56:56,724 p=2295 u=root n=ansible | ok: [web01]
2021-06-21 04:56:56,744 p=2295 u=root n=ansible | ok: [app01]
2021-06-21 04:56:56,769 p=2295 u=root n=ansible | ok: [rmq01]
2021-06-21 04:56:56,772 p=2295 u=root n=ansible | ok: [mc01]
2021-06-21 04:56:56,780 p=2295 u=root n=ansible | ok: [db01]
2021-06-21 04:56:56,788 p=2295 u=root n=ansible | TASK [Update hosts file for all the hosts] *********************************************************************************************************
2021-06-21 04:56:57,403 p=2295 u=root n=ansible | changed: [db01]
2021-06-21 04:56:57,916 p=2295 u=root n=ansible | changed: [rmq01]
2021-06-21 04:56:57,975 p=2295 u=root n=ansible | ok: [web01]
2021-06-21 04:56:57,978 p=2295 u=root n=ansible | ok: [mc01]
2021-06-21 04:56:57,983 p=2295 u=root n=ansible | ok: [app01]
2021-06-21 04:56:58,000 p=2295 u=root n=ansible | PLAY [Setup Mysql with accounts db and remote login] ***********************************************************************************************
